model,bucket,questions
Qwen3-8B,ambiguous_9_to_23,147
Qwen3-8B,practical_high_24_to_27,21
Qwen3-8B,practical_low_5_to_8,21
Qwen3-8B,stable_high_32,1314
Qwen3-8B,stable_low_0,5395
Qwen3-8B,strict_high_28_to_31,3
Qwen3-8B,strict_low_1_to_4,3
RedSage-8B-Ins,ambiguous_9_to_23,452
RedSage-8B-Ins,practical_high_24_to_27,54
RedSage-8B-Ins,practical_low_5_to_8,66
RedSage-8B-Ins,stable_high_32,139
RedSage-8B-Ins,stable_low_0,6183
RedSage-8B-Ins,strict_high_28_to_31,3
RedSage-8B-Ins,strict_low_1_to_4,7
RedSage-8B-DPO,ambiguous_9_to_23,420
RedSage-8B-DPO,practical_high_24_to_27,56
RedSage-8B-DPO,practical_low_5_to_8,71
RedSage-8B-DPO,stable_high_32,445
RedSage-8B-DPO,stable_low_0,5899
RedSage-8B-DPO,strict_high_28_to_31,6
RedSage-8B-DPO,strict_low_1_to_4,7
